Error   2024-11-29 10:39:48:056  DevID:  Source-Line:MvCameraControl.dll(OtherLoadLibrary.cpp-L0968)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[LoadSDKVersionAllFunctions]g_hVersionModule is NULL, strVersionDllName[C:\Program Files (x86)\IDMVS\Applications\Win64\plugins\MvSDK\MvSDKVersion.dll], Ret[0x8000000c]
Warning 2024-11-29 10:39:48:077  DevID:  Source-Line:MvCameraControl.dll(GenTLLoadLibraryEx.cpp-L0345)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[LoadCtiLibInter]MV_GCSetConfigIntValue is NULL, CTI path[C:\Program Files (x86)\IDMVS\Applications\Win64\plugins\MvSDK\MvProducerVIR.dll]
Error   2024-11-29 10:39:48:152  DevID:  Source-Line:MvCameraControl.dll(GenTLLoadLibraryEx.cpp-L0222)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[LoadCtiLibInter]Load CTI failed! CTI path[C:\Program Files (x86)\IDMVS\Applications\Win64\plugins\MvSDK\MvFGProducerGEV.cti], nRet[0x8000000c]
Error   2024-11-29 10:39:48:152  DevID:  Source-Line:MvCameraControl.dll(FGDeviceEnumerator.cpp-L0103)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[EnumInterfaceInter]EnumInterfaces failed! Ret[0x8000000c], TLayerType[0x1], CTI[C:\Program Files (x86)\IDMVS\Applications\Win64\plugins\MvSDK\MvFGProducerGEV.cti]
Warning 2024-11-29 10:39:48:152  DevID:Virtual GigE Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0937)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_MODEL] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual GigE Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0941)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_VERSION] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual GigE Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0945)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_MANUFACTURER] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual GigE Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0949)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_USER_DEFINED_NAME] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual USB3 Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0937)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_MODEL] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual USB3 Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0941)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_VERSION] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual USB3 Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0945)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_MANUFACTURER] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual USB3 Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L0949)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[GetInterfaceInfos]TLGetInterfaceInfo[INTERFACE_INFO_USER_DEFINED_NAME] failed, Ret[0x80000001]
Warning 2024-11-29 10:39:48:152  DevID:Virtual GigE Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L1361)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[OpenInterfaceInter]Get cti version failed, nRet[0x8000000c]
Info    2024-11-29 10:39:48:152  DevID:Virtual GigE Vision  Source-Line:MvCameraControl.dll(GenTLManager.cpp-L1363)  ProcessName:MvLogisticsXmlConfigTool.exe(14464)     Description:[OpenInterfaceInter]Interface open success! VIRGEVCtiVersion[], VIRGEVDrvVersion[]
